community_area_name,community_area,year,gang_dominant,n_gangs_present,pct_area_gang_control,n_dv_crimes,n_homicides,n_arrests
DOUGLAS,35,2008,GANGSTER DISCIPLES,3.0,0.27743917772639226,493,4,0
DOUGLAS,35,2009,GANGSTER DISCIPLES,3.0,0.27743917772639226,480,2,0
DOUGLAS,35,2010,GANGSTER DISCIPLES,3.0,0.20862120528256145,479,1,0
DOUGLAS,35,2011,,,,462,0,0
DOUGLAS,35,2012,GANGSTER DISCIPLES,2.0,0.24687935064164668,459,0,0
DOUGLAS,35,2013,,,,452,4,0
DOUGLAS,35,2014,GANGSTER DISCIPLES,1.0,0.24127285189511458,430,3,60
DOUGLAS,35,2015,GANGSTER DISCIPLES,2.0,0.21416817487334708,59,3,3
DOUGLAS,35,2016,GANGSTER DISCIPLES,2.0,0.22340459252458322,433,4,53
DOUGLAS,35,2017,GANGSTER DISCIPLES,2.0,0.1965575307673716,447,3,57
DOUGLAS,35,2018,GANGSTER DISCIPLES,2.0,0.1965575307673716,502,7,59
DOUGLAS,35,2019,GANGSTER DISCIPLES,2.0,0.1783080419082511,495,3,56
DOUGLAS,35,2020,GANGSTER DISCIPLES,2.0,0.1783080419082511,427,3,50
DOUGLAS,35,2021,GANGSTER DISCIPLES,2.0,0.15456732909991258,509,7,43
DOUGLAS,35,2022,GANGSTER DISCIPLES,2.0,0.15456732909991258,520,8,50
DOUGLAS,35,2023,GANGSTER DISCIPLES,2.0,0.15453404349390343,504,8,46
DOUGLAS,35,2024,GANGSTER DISCIPLES,2.0,0.15456732909991255,472,10,54
OAKLAND,36,2008,BLACK DISCIPLES,3.0,0.17768214260760778,240,0,0
OAKLAND,36,2009,BLACK DISCIPLES,3.0,0.17768214260760798,225,1,0
OAKLAND,36,2010,GANGSTER DISCIPLES & BLACK DISCIPLES,1.0,0.19888618450815548,212,2,0
OAKLAND,36,2011,,,,229,2,0
OAKLAND,36,2012,GANGSTER DISCIPLES,1.0,0.20177047283644398,213,2,0
OAKLAND,36,2013,,,,187,0,0
OAKLAND,36,2014,GANGSTER DISCIPLES,1.0,0.3058953568610226,180,0,23
OAKLAND,36,2015,GANGSTER DISCIPLES,1.0,0.12239966837879811,21,3,1
OAKLAND,36,2016,GANGSTER DISCIPLES,1.0,0.1223997137643333,171,4,22
OAKLAND,36,2017,GANGSTER DISCIPLES,1.0,0.1223997137643333,192,0,15
OAKLAND,36,2018,GANGSTER DISCIPLES,1.0,0.04900880509460516,203,1,19
OAKLAND,36,2019,GANGSTER DISCIPLES,2.0,0.09020335886395707,205,1,16
OAKLAND,36,2020,GANGSTER DISCIPLES,2.0,0.09020335886395707,174,1,16
OAKLAND,36,2021,GANGSTER DISCIPLES,2.0,0.18807814528202932,202,3,15
OAKLAND,36,2022,GANGSTER DISCIPLES,2.0,0.18807814528202932,190,0,16
OAKLAND,36,2023,GANGSTER DISCIPLES,2.0,0.18788366308686166,246,1,28
OAKLAND,36,2024,GANGSTER DISCIPLES,2.0,0.396305491175799,229,2,17
FULLER PARK,37,2008,MICKEY COBRAS,2.0,0.3799752927317206,202,1,0
FULLER PARK,37,2009,MICKEY COBRAS,2.0,0.3799752927317206,188,1,0
FULLER PARK,37,2010,MICKEY COBRAS,3.0,0.4810902691683233,184,2,0
FULLER PARK,37,2011,,,,164,1,0
FULLER PARK,37,2012,MICKEY COBRAS,3.0,0.4137480167186378,175,1,0
FULLER PARK,37,2013,,,,158,1,0
FULLER PARK,37,2014,MICKEY COBRAS,2.0,0.40507055442093554,145,1,22
FULLER PARK,37,2015,MICKEY COBRAS,2.0,0.4078796861621693,23,3,0
FULLER PARK,37,2016,MICKEY COBRAS,2.0,0.4078797218368987,174,5,13
FULLER PARK,37,2017,MICKEY COBRAS,2.0,0.4078797219292275,155,2,19
FULLER PARK,37,2018,MICKEY COBRAS,2.0,0.4078797219292275,144,2,21
FULLER PARK,37,2019,MICKEY COBRAS,2.0,0.4078797219292275,124,4,21
FULLER PARK,37,2020,MICKEY COBRAS,2.0,0.4078797219292275,100,2,9
FULLER PARK,37,2021,MICKEY COBRAS,2.0,0.4078797219292275,110,4,8
FULLER PARK,37,2022,MICKEY COBRAS,2.0,0.4078797219292275,111,6,5
FULLER PARK,37,2023,MICKEY COBRAS,3.0,0.4078460780280614,132,2,12
FULLER PARK,37,2024,MICKEY COBRAS,2.0,0.4078797219292275,113,3,19
GRAND BOULEVARD,38,2008,BLACK DISCIPLES,6.0,0.4086525940492138,1013,10,0
GRAND BOULEVARD,38,2009,BLACK DISCIPLES,6.0,0.4086525940492138,1039,12,0
GRAND BOULEVARD,38,2010,GANGSTER DISCIPLES,7.0,0.2782422108089445,955,10,0
GRAND BOULEVARD,38,2011,,,,973,8,0
GRAND BOULEVARD,38,2012,GANGSTER DISCIPLES,4.0,0.6773887492908588,923,8,0
GRAND BOULEVARD,38,2013,,,,824,7,0
GRAND BOULEVARD,38,2014,GANGSTER DISCIPLES,3.0,0.5288437443138014,775,9,127
GRAND BOULEVARD,38,2015,GANGSTER DISCIPLES,3.0,0.5444955769745806,117,7,2
GRAND BOULEVARD,38,2016,GANGSTER DISCIPLES,3.0,0.5444955555831577,775,9,88
GRAND BOULEVARD,38,2017,GANGSTER DISCIPLES,3.0,0.45907486424505417,787,9,97
GRAND BOULEVARD,38,2018,GANGSTER DISCIPLES,3.0,0.4586801630764854,830,11,103
GRAND BOULEVARD,38,2019,GANGSTER DISCIPLES,4.0,0.11280204967864033,885,5,133
GRAND BOULEVARD,38,2020,GANGSTER DISCIPLES,4.0,0.11285475971006396,712,6,63
GRAND BOULEVARD,38,2021,GANGSTER DISCIPLES,4.0,0.2286650147970079,759,16,55
GRAND BOULEVARD,38,2022,GANGSTER DISCIPLES,4.0,0.22866501479700788,733,13,76
GRAND BOULEVARD,38,2023,GANGSTER DISCIPLES,4.0,0.22843940681970004,858,5,82
