year,community_area,sex,age
2024,GREATER GRAND CROSSING,M,0-19
2024,ROSELAND,M,30-39
2024,SOUTH SHORE,M,40-49
2024,SOUTH SHORE,F,30-39
2024,WEST ENGLEWOOD,M,0-19
2024,AUBURN GRESHAM,M,20-29
2024,SOUTH SHORE,M,20-29
2024,SOUTH SHORE,M,40-49
2024,LOWER WEST SIDE,M,20-29
2024,EAST GARFIELD PARK,M,0-19
2024,BRIGHTON PARK,M,30-39
2024,EAST GARFIELD PARK,M,30-39
2024,AUSTIN,M,20-29
2024,CHATHAM,M,50-59
2024,AUBURN GRESHAM,F,50-59
2024,PULLMAN,M,20-29
2024,HUMBOLDT PARK,M,UNKNOWN
2024,HUMBOLDT PARK,M,40-49
2024,GREATER GRAND CROSSING,M,0-19
2024,ALBANY PARK,M,0-19
2024,CHATHAM,M,40-49
2024,EAST GARFIELD PARK,M,60-69
2024,GREATER GRAND CROSSING,M,40-49
2024,AUSTIN,F,20-29
2024,WEST GARFIELD PARK,M,20-29
2024,SOUTH SHORE,F,20-29
2024,WEST GARFIELD PARK,F,20-29
2024,HUMBOLDT PARK,M,30-39
2024,HUMBOLDT PARK,M,20-29
2024,AUBURN GRESHAM,F,20-29
2024,HUMBOLDT PARK,F,40-49
2024,HUMBOLDT PARK,M,40-49
2024,ENGLEWOOD,M,20-29
2024,AUSTIN,M,20-29
2024,SOUTH SHORE,M,40-49
2024,EAST GARFIELD PARK,M,30-39
2024,SOUTH SHORE,M,20-29
2024,WOODLAWN,M,20-29
2024,WOODLAWN,F,40-49
2024,WOODLAWN,M,20-29
2024,WASHINGTON PARK,M,0-19
2024,KENWOOD,M,20-29
2024,LOOP,M,40-49
2024,HUMBOLDT PARK,M,20-29
2024,ARMOUR SQUARE,F,20-29
2024,CHATHAM,F,20-29
2024,GREATER GRAND CROSSING,M,20-29
2024,WEST GARFIELD PARK,M,40-49
2024,WEST GARFIELD PARK,M,30-39
2024,WEST GARFIELD PARK,M,UNKNOWN
2024,WEST GARFIELD PARK,M,40-49
2024,WEST GARFIELD PARK,M,30-39
2024,SOUTH CHICAGO,M,0-19
2024,EAST SIDE,M,20-29
2024,CALUMET HEIGHTS,M,0-19
2024,SOUTH CHICAGO,M,40-49
2024,MORGAN PARK,M,30-39
2024,WEST PULLMAN,M,30-39
2024,GREATER GRAND CROSSING,M,20-29
2024,SOUTH CHICAGO,M,20-29
2024,GRAND BOULEVARD,M,20-29
2024,AUSTIN,M,30-39
2024,SOUTH SHORE,M,20-29
2024,SOUTH SHORE,F,20-29
2024,IRVING PARK,M,40-49
2024,NORTH LAWNDALE,M,40-49
2024,AUSTIN,M,40-49
2024,HUMBOLDT PARK,F,0-19
2024,NEAR WEST SIDE,M,20-29
2024,ROSELAND,M,20-29
2024,WEST PULLMAN,M,20-29
2024,CHATHAM,M,30-39
2024,AUSTIN,M,30-39
2024,WEST GARFIELD PARK,M,20-29
2024,SOUTH SHORE,M,20-29
2024,WASHINGTON PARK,F,20-29
2024,NEAR WEST SIDE,M,0-19
2024,NEAR WEST SIDE,M,50-59
2024,NORTH LAWNDALE,M,0-19
2024,SOUTH SHORE,M,40-49
2024,ROGERS PARK,M,30-39
2024,ENGLEWOOD,M,20-29
2024,ROSELAND,M,20-29
2024,CHATHAM,M,40-49
2024,NORTH LAWNDALE,M,40-49
2024,WASHINGTON PARK,M,30-39
2024,SOUTH LAWNDALE,M,0-19
2024,NEAR WEST SIDE,M,0-19
2024,NEAR WEST SIDE,F,20-29
2024,WEST GARFIELD PARK,M,30-39
2024,GRAND BOULEVARD,F,0-19
2024,AUSTIN,M,20-29
2024,AUSTIN,M,40-49
2024,NEW CITY,F,40-49
2024,AUSTIN,M,30-39
2024,CHICAGO LAWN,M,0-19
2024,WEST GARFIELD PARK,M,20-29
2024,GRAND BOULEVARD,M,20-29
2024,SOUTH LAWNDALE,M,40-49
2024,WEST TOWN,M,0-19
2024,WEST PULLMAN,M,20-29
2024,WEST ENGLEWOOD,M,40-49
2024,CHATHAM,M,20-29
2024,HERMOSA,M,30-39
2024,WEST ENGLEWOOD,M,0-19
2024,ROSELAND,M,50-59
2024,ROSELAND,M,30-39
2024,WASHINGTON PARK,F,20-29
2024,LOGAN SQUARE,M,0-19
2024,WASHINGTON PARK,M,20-29
2024,NEAR WEST SIDE,M,0-19
2024,NEAR WEST SIDE,M,20-29
2024,SOUTH CHICAGO,M,0-19
2024,NORTH LAWNDALE,M,20-29
2024,WEST PULLMAN,M,30-39
2024,WEST PULLMAN,F,30-39
2024,WEST TOWN,M,0-19
2024,WEST GARFIELD PARK,M,30-39
2024,WEST RIDGE,M,20-29
2024,ENGLEWOOD,F,30-39
