community_area_name,community_area,year,gang_dominant,n_gangs_present,pct_area_gang_control,n_dv_crimes,n_homicides,n_arrests,gang_map_year_used,imputed_gang_map,n_shoot_total,n_fem_shoot,n_fem_shoot_res,n_fem_shoot_pub,n_fem_shoot_fatal,n_male_shoot,n_dv_check,n_dv_res,n_dv_pub,n_dv_homicide,n_dv_arrested,total_pop,pop_black,pop_white,pop_latino,pop_female,median_hh_income,per_capita_income,pct_black,pct_white,pct_latino,pct_female,pct_poverty,pct_unemp_young,pct_bachelor_plus,area_km2,pop_density_per_km2,dv_consistency_ratio,arrest_rate_dv,dv_per_100k,fem_shoot_per_100k_female,gang_family
DOUGLAS,35,2008,GANGSTER DISCIPLES,3,0.27743917772639226,493,4,0,2008,0,4,1,0,1,1,3,493,295,139,0,57,19524,14898,2561,373,10335,40042.185720139314,23098.16267158369,0.7630608481868469,0.1311718910059414,0.01910469166154476,0.5293484941610326,0.27549066539013883,0.2518878101402373,0.3799000468530376,4.273986873676388,4568.100131577122,1,0.11561866125760649,2525.097316123745,9.675858732462506,Folk Nation
DOUGLAS,35,2009,GANGSTER DISCIPLES,3,0.27743917772639226,480,2,0,2009,0,2,1,1,0,1,1,480,330,108,0,94,19500.5,14632,2565.25,386.25,10535.25,39343.03463235873,22934.999628494767,0.7502935774679788,0.13154927337540304,0.01980973336273088,0.5402949527103267,0.29885028996892493,0.2518878101402373,0.3799000468530376,4.273986873676388,4562.601752500495,1,0.19583333333333333,2461.47534678598,9.491943712773784,Folk Nation
DOUGLAS,35,2010,GANGSTER DISCIPLES,3,0.20862120528256145,479,1,0,2010,0,17,0,0,0,0,17,479,331,112,0,79,19477,14366,2569.5,399.5,10735.5,38643.883544578144,22771.836585405843,0.7375263067491106,0.13192665574486467,0.020514775063917,0.5512414112596208,0.322209914547711,0.2518878101402373,0.3799000468530376,4.273986873676388,4557.103373423868,1,0.1649269311064718,2459.3109821841144,0,Folk Nation
DOUGLAS,35,2011,NA,NA,NA,462,0,0,2010,1,10,2,0,1,0,8,462,329,97,0,84,19453.5,14100,2573.75,412.75,10935.75,37944.73245679757,22608.673542316923,0.7247590360302424,0.1323040381143263,0.02121981676510312,0.5621878698089149,0.345569539126497,0.2518878101402373,0.3799000468530376,4.273986873676388,4551.604994347242,1,0.18181818181818182,2374.893977947413,18.288640468189197,NA
DOUGLAS,35,2012,GANGSTER DISCIPLES,2,0.24687935064164668,459,0,0,2012,0,7,0,0,0,0,7,459,315,109,0,94,19430,13834,2578,426,11136,37245.58136901698,22445.510499228,0.7119917653113742,0.13268142048378795,0.02192485846628924,0.573134328358209,0.3689291637052831,0.2518878101402373,0.3799000468530376,4.273986873676388,4546.106615270614,1,0.2047930283224401,2362.326299536799,0,Folk Nation
DOUGLAS,35,2013,NA,NA,NA,452,4,0,2012,1,9,1,1,0,1,8,452,308,109,0,98,19889.5,14010.75,2660,500.25,11278,37371.68997635837,23165.749093623555,0.7049196280083567,0.1336703657201853,0.02494232731783805,0.5674283276115193,0.37779246375833,0.2271022904616616,0.395204196253617,4.273986873676388,4653.6174742369985,1,0.2168141592920354,2272.5558711883155,8.866820358219542,NA
DOUGLAS,35,2014,GANGSTER DISCIPLES,1,0.24127285189511455,430,3,60,2014,0,15,2,1,1,1,13,430,309,82,0,73,20349,14187.5,2742,574.5,11420,37497.79858369977,23885.987688019115,0.6978474907053391,0.1346593109565827,0.02795979616938686,0.5617223268648295,0.38665576381137695,0.2023167707830859,0.41050834565419647,4.273986873676388,4761.128333203384,1,0.1697674418604651,2113.1259521352404,17.513134851138354,Folk Nation
DOUGLAS,35,2015,GANGSTER DISCIPLES,2,0.21416817487334708,59,3,3,2015,0,20,3,1,1,0,17,59,38,18,0,11,20808.5,14364.25,2824,648.75,11562,37623.90719104116,24606.226282414675,0.6907753534023215,0.1356482561929801,0.03097726502093567,0.5560163261181398,0.3955190638644238,0.17753125110451018,0.42581249505477586,4.273986873676388,4868.639192169768,1,0.1864406779661017,283.53797726890457,25.94706798131811,Folk Nation
DOUGLAS,35,2016,GANGSTER DISCIPLES,2,0.2234045925245832,433,4,53,2016,0,25,4,1,3,2,21,433,296,107,2,66,21268,14541,2906,723,11704,37750.01579838255,25326.46487681023,0.6837032160993041,0.13663720142937746,0.03399473387248449,0.5503103253714501,0.4043823639174708,0.15274573142593448,0.44111664445535526,4.273986873676388,4976.150051136152,1,0.15242494226327943,2035.9225126951287,34.176349965823654,Folk Nation
DOUGLAS,35,2017,GANGSTER DISCIPLES,2,0.1965575307673716,447,3,57,2017,0,15,4,1,3,1,11,447,302,111,1,66,21289.75,14402,2792.5,916.5,11645.5,42752.560119279624,27746.57353468564,0.6764978522524223,0.13118312233169127,0.04302122015383655,0.547010430753008,0.3745748751996567,0.15467264869539543,0.4405284085236255,4.273986873676388,4981.238976451753,1,0.1476510067114094,2099.6019211122725,34.348031428448756,Folk Nation
DOUGLAS,35,2018,GANGSTER DISCIPLES,2,0.1965575307673716,502,7,59,2018,0,13,2,1,1,1,11,502,354,112,1,75,21311.5,14263,2679,1110,11587,47755.1044401767,30166.68219256105,0.6692924884055406,0.12572904323400505,0.05204770643518863,0.543710536134566,0.3447673864818426,0.1565995659648564,0.4399401725918958,4.273986873676388,4986.327901767355,1,0.14940239043824702,2355.5357436126033,17.2607232243031,Folk Nation
DOUGLAS,35,2019,GANGSTER DISCIPLES,2,0.1783080419082511,495,3,56,2019,0,22,6,1,5,1,16,495,361,100,0,64,21333.25,14124,2565.5,1303.5,11528.5,52757.64876107378,32586.79085043646,0.6620871245586588,0.12027496413631884,0.0610741927165407,0.5404106415161241,0.31495989776402844,0.1585264832343174,0.439351936660166,4.273986873676388,4991.416827082956,1,0.1292929292929293,2320.3215637561084,52.04493212473436,Folk Nation
DOUGLAS,35,2020,GANGSTER DISCIPLES,2,0.1783080419082511,427,3,50,2020,0,39,3,0,3,1,36,427,310,89,0,55,21355,13985,2452,1497,11470,57760.19308197086,35006.89950831187,0.6548817607117771,0.11482088503863264,0.07010067899789277,0.537110746897682,0.28515240904621436,0.16045340050377835,0.43876370072843623,4.273986873676388,4996.505752398558,1,0.1288056206088993,1999.5317255911964,26.155187445510023,Folk Nation
DOUGLAS,35,2021,GANGSTER DISCIPLES,2,0.15456732909991258,509,7,43,2021,0,30,8,2,6,3,22,509,379,108,0,50,21355,13985,2452,1497,11470,57760.19308197086,35006.89950831187,0.6548817607117771,0.11482088503863264,0.07010067899789277,0.537110746897682,0.28515240904621436,0.16045340050377835,0.43876370072843623,4.273986873676388,4996.505752398558,1,0.09823182711198428,2383.5167408101147,69.74716652136007,Folk Nation
DOUGLAS,35,2022,GANGSTER DISCIPLES,2,0.15456732909991258,520,8,50,2022,0,38,3,1,2,2,35,520,373,113,1,58,21355,13985,2452,1497,11470,57760.19308197086,35006.89950831187,0.6548817607117771,0.11482088503863264,0.07010067899789277,0.537110746897682,0.28515240904621436,0.16045340050377835,0.43876370072843623,4.273986873676388,4996.505752398558,1,0.11153846153846154,2435.026925778506,26.155187445510023,Folk Nation
DOUGLAS,35,2023,GANGSTER DISCIPLES,2,0.15453404349390343,504,8,46,2023,0,31,3,0,3,0,28,504,371,111,0,54,21355,13985,2452,1497,11470,57760.19308197086,35006.89950831187,0.6548817607117771,0.11482088503863264,0.07010067899789277,0.537110746897682,0.28515240904621436,0.16045340050377835,0.43876370072843623,4.273986873676388,4996.505752398558,1,0.10714285714285714,2360.103020369937,26.155187445510023,Folk Nation
DOUGLAS,35,2024,GANGSTER DISCIPLES,2,0.15456732909991255,472,10,54,2024,0,39,10,0,10,4,29,472,336,100,3,61,21355,13985,2452,1497,11470,57760.19308197086,35006.89950831187,0.6548817607117771,0.11482088503863264,0.07010067899789277,0.537110746897682,0.28515240904621436,0.16045340050377835,0.43876370072843623,4.273986873676388,4996.505752398558,1,0.1292372881355932,2210.255209552798,87.1839581517001,Folk Nation
