community_area,community_area_name,n_anos_observados,gangs_distintas,n_switches,gang_modal,pct_anos_modal
1,ROGERS PARK,15,1,0,GANGSTER DISCIPLES,1
2,WEST RIDGE,15,1,0,LATIN KINGS,1
3,UPTOWN,15,2,1,BLACK P STONES,0.8
4,LINCOLN SQUARE,15,1,0,LATIN KINGS,1
5,NORTH CENTER,8,1,0,INSANE DEUCES,1
6,LAKE VIEW,4,2,1,GANGSTER DISCIPLES,0.75
7,LINCOLN PARK,4,1,0,LATIN KINGS,1
8,NEAR NORTH SIDE,15,1,0,GANGSTER DISCIPLES,1
11,JEFFERSON PARK,1,1,0,AZTECAS,1
13,NORTH PARK,15,2,2,LATIN KINGS,0.9333333333333333
14,ALBANY PARK,15,3,2,LATIN KINGS,0.8
15,PORTAGE PARK,15,2,1,SPANISH FOUR CORNER HUSTLERS,0.8
16,IRVING PARK,15,1,0,LA FAMILIA STONES,1
17,DUNNING,12,1,0,MANIAC LATIN DISCIPLES,1
18,MONTCLARE,3,1,0,MANIAC LATIN DISCIPLES,1
19,BELMONT CRAGIN,15,2,1,MANIAC LATIN DISCIPLES,0.8
20,HERMOSA,15,1,0,SPANISH COBRAS,1
21,AVONDALE,15,1,0,MANIAC LATIN DISCIPLES,1
22,LOGAN SQUARE,15,2,1,IMPERIAL GANGSTERS,0.8
23,HUMBOLDT PARK,15,1,0,TRAVELING VICE LORDS,1
24,WEST TOWN,15,2,1,MANIAC LATIN DISCIPLES,0.6
25,AUSTIN,15,1,0,FOUR CORNER HUSTLERS,1
26,WEST GARFIELD PARK,15,1,0,FOUR CORNER HUSTLERS,1
27,EAST GARFIELD PARK,15,3,4,BLACK SOULS,0.8
28,NEAR WEST SIDE,15,1,0,NEW BREED,1
29,NORTH LAWNDALE,15,3,3,GANGSTER DISCIPLES,0.6
30,SOUTH LAWNDALE,15,3,3,LATIN KINGS,0.6666666666666666
31,LOWER WEST SIDE,15,1,0,SATAN DISCIPLES,1
33,NEAR SOUTH SIDE,14,1,0,GANGSTER DISCIPLES,1
34,ARMOUR SQUARE,15,1,0,GANGSTER DISCIPLES,1
35,DOUGLAS,15,1,0,GANGSTER DISCIPLES,1
36,OAKLAND,15,3,2,GANGSTER DISCIPLES,0.8
37,FULLER PARK,15,1,0,MICKEY COBRAS,1
38,GRAND BOULEVARD,15,2,1,GANGSTER DISCIPLES,0.8666666666666667
39,KENWOOD,15,2,1,GANGSTER DISCIPLES,0.6
40,WASHINGTON PARK,15,2,1,BLACK DISCIPLES,0.7333333333333333
41,HYDE PARK,14,2,1,BLACK P STONES,0.7857142857142857
42,WOODLAWN,15,1,0,GANGSTER DISCIPLES,1
43,SOUTH SHORE,15,1,0,GANGSTER DISCIPLES,1
44,CHATHAM,15,1,0,GANGSTER DISCIPLES,1
45,AVALON PARK,15,4,3,GANGSTER DISCIPLES,0.6666666666666666
46,SOUTH CHICAGO,15,3,2,BLACK P STONES,0.8
47,BURNSIDE,15,2,2,GANGSTER DISCIPLES,0.9333333333333333
48,CALUMET HEIGHTS,15,1,0,GANGSTER DISCIPLES,1
49,ROSELAND,15,1,0,GANGSTER DISCIPLES,1
50,PULLMAN,15,3,2,GANGSTER DISCIPLES,0.8
51,SOUTH DEERING,15,1,0,GANGSTER DISCIPLES,1
52,EAST SIDE,15,1,0,LATIN KINGS,1
53,WEST PULLMAN,15,1,0,GANGSTER DISCIPLES,1
54,RIVERDALE,15,3,5,BLACK DISCIPLES,0.6666666666666666
55,HEGEWISCH,15,1,0,LATIN DRAGONS,1
56,GARFIELD RIDGE,15,1,0,LATIN KINGS,1
57,ARCHER HEIGHTS,15,1,0,SATAN DISCIPLES,1
58,BRIGHTON PARK,15,2,1,TWO SIX,0.8
59,MCKINLEY PARK,15,1,0,LATIN COUNTS,1
60,BRIDGEPORT,15,2,1,LATIN KINGS,0.8
61,NEW CITY,15,2,1,BLACK P STONES,0.8
62,WEST ELSDON,15,1,0,LATIN KINGS,1
63,GAGE PARK,15,1,0,LATIN KINGS,1
64,CLEARING,15,2,1,TWO SIX,0.8
65,WEST LAWN,15,2,1,TWO SIX,0.8
66,CHICAGO LAWN,15,1,0,GANGSTER DISCIPLES,1
67,WEST ENGLEWOOD,15,1,0,GANGSTER DISCIPLES,1
68,ENGLEWOOD,15,2,2,GANGSTER DISCIPLES,0.9333333333333333
69,GREATER GRAND CROSSING,15,1,0,GANGSTER DISCIPLES,1
70,ASHBURN,15,2,1,GANGSTER DISCIPLES,0.8
71,AUBURN GRESHAM,15,2,1,BLACK P STONES,0.8
72,BEVERLY,15,3,2,BLACK P STONES,0.8
73,WASHINGTON HEIGHTS,15,1,0,GANGSTER DISCIPLES,1
75,MORGAN PARK,15,1,0,GANGSTER DISCIPLES,1
76,OHARE,2,1,0,GANGSTER DISCIPLES,1
77,EDGEWATER,15,3,2,LATIN KINGS,0.8
