outcome,spec,year,estimate,std.error,conf.low,conf.high,p.value
Female shootings,Unweighted,2010,-0.416666666666663,1.1852243529857251,-2.8010305154271946,1.9676971820938687,0.7267463258585938
Female shootings,Unweighted,2011,-0.37499999999999495,0.9857375461578379,-2.3580481575102823,1.6080481575102923,0.7053433142372225
Female shootings,Unweighted,2012,-1.5000000000000073,0.907258332017963,-3.3251683429394343,0.32516834293941965,0.10492828700549137
Female shootings,Unweighted,2013,-2.250000000000012,0.9262882260748903,-4.113451551785745,-0.38654844821427914,0.01901604190056498
Female shootings,Unweighted,2016,1.791666666666688,1.1390978710011146,-0.4999026695295765,4.083236002862953,0.12245448739830556
Female shootings,Unweighted,2017,1.0833333333333481,1.0204832425592594,-0.9696141493054333,3.1362808159721296,0.29384718006409843
Female shootings,Unweighted,2018,0.9583333333333486,1.226680560929889,-1.5094296484940632,3.4260963151607604,0.43857830474156245
Female shootings,Unweighted,2019,0.7083333333333462,0.8888155886471554,-1.079732995582706,2.4963996622493987,0.42949306714255175
Female shootings,Unweighted,2020,5.083333333333383,1.7390361032591763,1.5848439495681577,8.581822717098607,0.005315880494169657
Female shootings,Unweighted,2021,7.166666666666733,1.8042800740642773,3.536923343556284,10.796409989777182,2.4327105843099267e-4
Female shootings,Unweighted,2022,2.500000000000026,1.5502939729277359,-0.6187891935297762,5.618789193529828,0.11352750982256471
Female shootings,Unweighted,2023,2.8333333333333646,1.319789019247591,0.17826029373731256,5.488406372929417,0.03699971251858084
Female shootings,Unweighted,2024,1.083333333333352,0.9742484168025043,-0.8766016771853287,3.0432683438520325,0.2718074386676297
Female shootings,Entropy-balanced,2010,0.8887721943598689,1.5915251006601192,-2.3129633292559357,4.090507717975673,0.5791944479950161
Female shootings,Entropy-balanced,2011,0.7911380215395338,1.186189654195753,-1.5951677627731633,3.177443805852231,0.508060604760644
Female shootings,Entropy-balanced,2012,-0.9389958191625977,1.0695774429074991,-3.0907080936310987,1.2127164553059036,0.38445691392554704
Female shootings,Entropy-balanced,2013,-0.8167895781367694,1.5238837653686796,-3.8824482871440065,2.2488691308704674,0.5944917590151066
Female shootings,Entropy-balanced,2016,1.8953187874292603,1.2642956041761766,-0.6481159008224056,4.438753475680926,0.14053241542263284
Female shootings,Entropy-balanced,2017,2.321653176786007,1.601389490583908,-0.899926939682711,5.543233293254725,0.15376206748532223
Female shootings,Entropy-balanced,2018,1.814817429348104,1.3497656752494969,-0.9005608635931226,4.5301957222893305,0.18522640261340853
Female shootings,Entropy-balanced,2019,1.833133196497842,1.21121528460056,-0.6035176623818328,4.269784055377516,0.13685744467859354
Female shootings,Entropy-balanced,2020,3.944948608142614,2.0047052942025543,-0.08799825029321307,7.977895466578442,0.05500194942933174
Female shootings,Entropy-balanced,2021,8.529105571735952,1.7458651089039223,5.016878000646702,12.041333142825202,1.2383462852673762e-5
Female shootings,Entropy-balanced,2022,4.1005094356836365,1.5957503270683018,0.8902738529228098,7.310745018444463,0.013412267418524146
Female shootings,Entropy-balanced,2023,2.8718864913023494,1.3699105366554398,0.11598196452731635,5.6277910180773825,0.041455903546912094
Female shootings,Entropy-balanced,2024,1.557193127395768,1.2165534534855518,-0.8901967420989765,4.0045829968905124,0.20682573770028215
Fatal female shootings,Unweighted,2010,0.04166666666667244,0.48771549837219047,-0.9394903605825666,1.0228236939159114,0.9322805975974722
Fatal female shootings,Unweighted,2011,-0.12499999999999492,0.39972699119692257,-0.9291469826221453,0.6791469826221556,0.755881753856475
Fatal female shootings,Unweighted,2012,-0.5416666666666654,0.4500145333763928,-1.4469791352271506,0.3636458018938198,0.23474667729384538
Fatal female shootings,Unweighted,2013,-0.37499999999999634,0.3812255453333192,-1.1419268744157578,0.39192687441576524,0.33031479858623825
Fatal female shootings,Unweighted,2016,0.5000000000000107,0.4965390508411325,-0.49890772522601934,1.4989077252260405,0.31910539680204775
Fatal female shootings,Unweighted,2017,0.8750000000000129,0.6136064973916261,-0.35941705029053894,2.1094170502905647,0.16047827507434012
Fatal female shootings,Unweighted,2018,0.7500000000000122,0.5245389508204863,-0.3052362583948651,1.8052362583948895,0.15938080374650376
Fatal female shootings,Unweighted,2019,0.4166666666666775,0.591346360501779,-0.7729687644013986,1.6063020977347535,0.4845319880992204
Fatal female shootings,Unweighted,2020,1.7083333333333535,0.8170923428989536,0.06455556366515491,3.352111103001552,0.0419842541372117
Fatal female shootings,Unweighted,2021,2.4583333333333597,0.9524286117152408,0.5422941087104138,4.374372557956305,0.013028966194307757
Fatal female shootings,Unweighted,2022,0.41666666666667673,0.5723253105622725,-0.7347033476244169,1.5680366809577704,0.4702104400580064
Fatal female shootings,Unweighted,2023,1.6250000000000193,0.7025952201893028,0.21156073079231374,3.038439269207725,0.02515699447183383
Fatal female shootings,Unweighted,2024,0.7083333333333454,0.5734656023789174,-0.44533065220276746,1.861997318869458,0.22290251303825043
Fatal female shootings,Entropy-balanced,2010,0.14956459374035572,0.49318250747236825,-0.8425906372046403,1.1417198246853517,0.7630268933103771
Fatal female shootings,Entropy-balanced,2011,0.17464081045249594,0.38650860588190544,-0.602914210905344,0.9521958318103358,0.653461194946759
Fatal female shootings,Entropy-balanced,2012,-0.843598591652285,0.5463170560739936,-1.942646746697914,0.255449563393344,0.12925781827305485
Fatal female shootings,Entropy-balanced,2013,-0.1993846731148669,0.4001843929934402,-1.0044518294621247,0.6056824832323908,0.6206440776370863
Fatal female shootings,Entropy-balanced,2016,0.12140981689550344,0.4995962792788663,-0.8836482586384423,1.1264678924294491,0.809050600923226
Fatal female shootings,Entropy-balanced,2017,0.899284840289175,0.6219102777277519,-0.3518372613206736,2.1504069418990235,0.15481194648259342
Fatal female shootings,Entropy-balanced,2018,0.7087177816675554,0.5558205147953563,-0.4094488663083975,1.8268844296435083,0.2085467588020642
Fatal female shootings,Entropy-balanced,2019,0.40675415561556594,0.6312149150036054,-0.8630864617676773,1.676594772998809,0.5224495828500559
Fatal female shootings,Entropy-balanced,2020,1.3537482436462436,0.8164503809896726,-0.28873806524078316,2.99623455253327,0.10395978130085255
Fatal female shootings,Entropy-balanced,2021,2.457310502991843,0.942728929037882,0.5607845229812627,4.353836483002423,0.012213767928768736
Fatal female shootings,Entropy-balanced,2022,0.14416656219128618,0.6086478986380388,-1.0802750740953442,1.3686081984779166,0.8137919375427242
Fatal female shootings,Entropy-balanced,2023,1.5014393962470043,0.7061699818609517,0.08080863415751405,2.9220701583364947,0.03877051407054742
Fatal female shootings,Entropy-balanced,2024,0.7113047115149991,0.570002302352043,-0.43539201304584885,1.858001436075847,0.2182499388721649
