yr,series,query,Female,Male,total,fem_share,post,pre,diff_pp,p_value,fonte,unidade
2011,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",10,253,263,0.03802281368821293,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2012,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",7,249,256,0.02734375,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2013,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",13,284,297,0.04377104377104377,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2014,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",4,261,265,0.01509433962264151,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2015,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",11,278,289,0.03806228373702422,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2016,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",21,280,301,0.06976744186046512,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2017,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",16,228,244,0.06557377049180328,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2018,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",16,285,301,0.053156146179401995,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2019,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",27,280,307,0.08794788273615635,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2020,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",28,326,354,0.07909604519774012,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
