community_area_name,avg_dv,avg_total_pop,avg_dv_per_100k,rank_volume,rank_perk
AUSTIN,3966.75,98852.359375,4012.8025522911294,1,NA
SOUTH SHORE,2580.6875,38194.359375,6756.724139976493,2,2
AUBURN GRESHAM,2113.375,47513.53125,4447.9434476889155,3,NA
NORTH LAWNDALE,2036.1875,32357.546875,6292.774628020995,4,5
WEST ENGLEWOOD,1905.625,30286.140625,6292.069443892705,5,6
GREATER GRAND CROSSING,1866.875,31177.4375,5987.90391288572,6,9
ENGLEWOOD,1847.5,25076.546875,7367.441814095467,7,1
ROSELAND,1780.1875,40252.484375,4422.553111046329,8,NA
HUMBOLDT PARK,1713,55197.609375,3103.395272723258,9,NA
CHATHAM,1565,31812.1875,4919.498226898103,10,NA
OAKLAND,206.125,3103.015625,6642.731616925068,NA,3
WASHINGTON PARK,762,11697.125,6514.4212787330225,NA,4
WEST GARFIELD PARK,1098.9375,17539.1875,6265.612360891861,NA,7
FULLER PARK,148.6875,2415.578125,6155.358771515618,NA,8
EAST GARFIELD PARK,1128.4375,19951.796875,5655.818907288269,NA,10
